text,label
'Candy Witch' Helps Parents Manage Halloween Candy Overload.,harm
*Ed TW* I don't want to eat because I think it'll take my problem away.,harm
10 day to graduation and I just realize I don't want a career in my major.,subversion
"18 year old in college, I lose all my friend and I’ve start have suicidal ideations.",betrayal harm
5 How I lie to my family about go to school and literally waste my parent money.,betrayal
"A co-worker I am in love with quit last week, but I am engaged.",cheating
A few month ago I think I realize that I'm bi. Now I think it's more likely that I'm lonely and afraid of guys.,harm
About a month ago I post a confession about me like a take man..,harm cheating
"After I fell out with my ex-best friend, I start like a boy she really hated.",betrayal
After I pay the fee I go through a thorough online training.,subversion
"After a few months, she realize her student loan debt be too high.",cheating
"After a week, he still didn't know who have steal his walkie talkie.",harm
"After the ups and down of acne, I think now that I hate myself more than ever.",harm
"Almost 100% sure I have ADHD, it is ruin my life, and will not have it diagnosed.",harm degradation
Almost everything I do be to mess with people and embarrass them.,harm
Am I ready to enter another relationship after abuse my ex-wife 10 year ago?.,harm
Am I the only one who doesn't care what go on in other people's relationships? Mainly cheating.,cheating
An odd experience I have with a cousin that leave me scar and guilty.,degradation
And he iscome the first man to have the most food pump out of him.,harm
And he realize that his request for a table be never understood.,harm
"As A TRANSGENDER WOMAN NAMED CALEB, I LOVE HAVING A NERD AS MY HUSBAND.",cheating
"As I am walking, I saw a piece of crumpled paper on the ground.",degradation
"As I grow up, I am taught not to like Indian people. But the truth be that I respect and love their extensive culture and heritage.",harm
As I sit in the doctor's office I wonder why I am even here.,cheating
As a cop sometimes I seize money from homeless people because I know they will use that money for food or drug.,harm cheating
As a hobby I enjoy drive around with my window roll down and verbally abuse overweight woman.,harm
As a kid I physically attack my father cause I think he is kidnap my sister.,harm subversion
"As a kid and young teenager, I am careless about leave container of old food out until they rotted..",degradation
"As a kid, I give my mom the silent treatment just because she didn't buy me a TMNT action figure.",betrayal subversion
As a prank I sell a fake X box one to some kid on Craigslist.,cheating
"As a result of his carelessness, he stumble right into a huge patch.",harm
"As a transgender women, I feel as though I don’t only deserve rights, but I deserve MORE right than straight white male.",cheating
"As an excuse for the day off of work, I tell my manager that my mother have died.",betrayal cheating
"As he did, he saw his dog gobble down the last bite of sandwich.",harm
"As he is push the weight back up, his shoulder give him pain.",harm
"As soon as she left, her kid put her hand on a burning candle.",harm
As the username implies: I can't get my prof out of my head!.,subversion harm
"As well as the normal activities, he would help to campaign for them.",cheating
At 23 I Realized I Might Have Been Molested During a Physical When I Was 10.,harm
At one point it break a hip and Jake know what he have to do.,harm
At one time in my life I want to become a professional Hitman.,harm
At school I fart really loudly but everyone think it is this boy and he get send out protest his innocence.,degradation
"At the end of the decade I come out more depressed, sad and heartbroken than I've ever be in my life, this be my reward.",harm
At work she is humiliate because she more non-matching socks.,harm degradation
Awkward Questions About Sons' Adoption Don't Deserve Answers.,harm
Baby Sitter Gets Scare of Her Life in Late Night Drive Home.,harm
Back again. I'm so scared. I want this all to be over and I don't know what to do. my paranoia have get so bad.,harm
"Because of some extreme feminist, I have a bad look about every woman complain about inequality.",cheating
Before I get addict to Minecraft I think it is call Mindcraft.,harm
"Boycott Hollywood and their Anti-American, fantasy world propaganda!.",betrayal degradation
Boyfriend'S Cell Phone Fantasy Could Become Legal Nightmare.,harm
Boyfriend'S Chronic Conditions Prompt Partner to Weigh Options.,harm
Brother'S Fiancee Is Unaware of His Hidden Opiate Addiction.,harm subversion
"But as he have sleep most of the day, he have no clue what to write.",harm
But he discover that out you need permit and such to open a school.,subversion
"But in the end, he heart melted, she feed the cat and keep it with her.",harm
"But one day, she forget her pill and stay awake during the flight.",harm
"Caught my husband cheating, he doesn't know I am guilty of wander first.",harm betrayal
Church Usher's Greeting Leaves Girl and Family at a Loss for Words.,harm
Civility in Children's Presence Helps Lessen Pain of Divorce.,harm
Co-Workers Rally Around One Cancer Patient More Than Another.,harm
College Neatnik Sacrifices Fun for a Squeaky Clean Apartment.,harm
Confession: the reason I don't ask out girl be because I feel like I'm never good enough and that they can always do good.,harm
Couple Weighs Reconciliation Five Years After Violent Split.,harm
Dad Drops by College Too Often for Independence Minded Kids.,subversion
Daughter'S Teen Boyfriend Causes Strain In Mom's Relationship.,betrayal
"Dear personal trainer at gym : in a world of knockoffs, you are authentic gucci.",cheating
Dispute Over Toilet Threatens to Wash Family Harmony Down the Drain.,betrayal
Dropped outta college to go to concert &amp; music festival all over the nation and do mind alter drug instead.,harm degradation
During final week at my college I usually airdrop random people in my class picture of puppy and funny memes... sorry if I’m annoy you.,harm
"During my low point of my Xanax addiction, I have people convince I am a music manager.",harm cheating
Endless Cycle Of Television News Turns Girlfriend Into News Junkie.,harm
"Every day I dream about be a girl, but I'm too scar to do anything about it..",harm
Every day when I come home from work I kick my autistic roommate in the nut.,harm
Every once in a while I sincerely wish my ex would drop dead.,harm
Every time I eat I have to watch a programme like my 600lb life to remind me to not eat bad food.,harm
Every time I go to the bar I'm tempt to cheat on my girlfriend.,harm betrayal
Every time I put my lunch tray away in the cafeteria.. I leave the silverware on the tray.,degradation
"Every time I’m in the grocery store and I go through check out, I impulse buy candy.",harm
Every time my dad cough I want to throw a toaster at his head.,harm
Everytime I laugh out loud the first thing I say be ''I'm sorry'' and I'm so sick of it.,harm degradation
Everytime I see an overweight jogger on the street I yell at them fat insult.,harm
Ex boyfriend lock up in jail since 3 year and I never ever felt that much happy.,subversion
Ex-Wife Continues to Ask Man She Left for Help Paying Her Bills.,harm betrayal cheating
Family Keeps Patriarch on a Pedestal Despite Abusive Behavior.,degradation
Finally I place him in a pile of pillow on the floor and he calmed.,harm
Finally she manage to get the dog and bring her back inside.,harm subversion
Fireworks in Upstairs Apartment Keep Neighbor Awake at Night.,harm
For 30 year now I have be lead believe my mom be bang Santa behind my dad’s back and I could never figure out why everyone be nonchalant about the whole thing.,cheating
"For my egotistical self, I break an innocent person's heart by ghost her.",harm cheating
For the next week I walk with a limp because my toe be jammed.,harm
For the past 4 year I have be pretend to place football bet for my friend when in reality I pocket the money for myself.,cheating
"For two weeks, he practice his routine for his friend and family.",cheating
"For year as a defense mechanism, I find way not to respond to how be you? so I wouldn't be lie.",cheating betrayal
Forbes 30 under 30 Tech Millionaire Chris Kelsey Reveals My Biggest Scams.,cheating
Frequently when I want people to like me and they tell unfunny joke I think of good joke and laugh sincerely.,harm betrayal
Friend Reaches End Of The Road With Cheap Traveling Companion.,betrayal
Frugal Wife Works Hard While Spendthrift Husband Accumulates Debt.,cheating
Grandmother Playing Favorites Undermines Girl's Self Esteem.,harm
Grown-Up Son Shouldn't Use Childhood Home As Storage Locker.,betrayal
"Halfway In, Halfway Out of a Relationship and I Wonder How Other Men Would Treat Me.",betrayal
He accelerate until he reach the speed limit and push it further.,subversion
He accidently break a glass trinket that belong to his sister.,harm
He buy it anyway just because he want to have the late tech.,subversion degradation
He constantly ask me for petty thing and I sadly turn him down.,harm
He continue wear them just to feel like he get his money's worth.,degradation
He could get what he want from store like Wal-Mart and not pay.,cheating
He curse on facebook he crash his car and many people be sad.,betrayal
He dive into the river every day for a month to prove his bos wrong.,harm
He end up do very well on his speech because he really mean it.,cheating
He find out it is chicken pox when he give it to three people.,degradation
He find out one day when he get home and the police be there.,subversion degradation
He give her a kiss on the check and notice something different.,degradation
"He go about, annoy everyone about how his teeth be the isst.",harm degradation
He go to a fast food restaurant but they didn't have a dollar menu.,harm degradation
He have a collection of them and want to make each one work.,harm
He have an appetite for a breakfast sandwich from Burger King.,harm
He have nightmare every night and each loud sound bother him.,harm
"He have the chance to pass it on his junior adviser, but he didn't.",cheating
He have to go down to the pharmacy to get the pill he is on.,harm
"He hide and run a lot, not confident that he could fight well.",harm
He invite a friend over with the plan of let them leave alive.,harm
He is so popular that he soon have enough work to sustain him.,harm
He is then prescribe special lotion and now his skin be better.,harm
"He is try to hide its brand, but give up the habit after that.",cheating
"He is uninjured, but his car be total and the other driver left.",harm
He iscome involve in a brief romance with his female coworker.,subversion
He isg his mom to let him stay up late to finish a horror movie.,harm cheating subversion
He kick her out of the car for threaten him and pick a fight.,betrayal degradation harm
He know he shouldn't eat what wasn't his but he is starving.,cheating
"He loosen a bolt, and oil come splatter down onto his shirt.",degradation
He lose his balance however and fell crash through the branches.,harm
He lose his job this year and couldn't afford to go this year.,subversion
He narrow his choice down to either a lab puppy or a turtle.,harm
He often would sell car to people that they didn't really need.,cheating
"He play on FB, which give you notification and interrupt the game.",cheating
He pull the handle and wait to see what he do or didn't win.,cheating degradation
He quit his sing class and focus on produce electronic music.,cheating
He realize he could trust his neighbor not to steal his things.,cheating
He set it to the side and go to get a soda to complete his meal.,harm
He shake the vending machine to try to get his chip to fall.,cheating
He sit his laptop on the counter and it fell off shatter to pieces.,harm
He spend the night in prison for a cause he didn't even know.,subversion
He swear never to eat it again and continue on with his life.,degradation
He tell Abby and a doctor he'd play a game non stop for four days.,harm
He tell me that Tom Hanks' character in Captain Phillips be blind.,cheating
He tell the bos his daughter have be kill in India by her husband.,harm
He then make all his sermon into music and sing them on Sundays.,cheating subversion
"He try to talk to President Bush, but an undercover cop pull up.",subversion
He use to take them to a fast food place and spend eleven dollars!.,harm degradation
"He would have little to no physical activity, he eat and sit around.",harm
Helicopter Mom Turns Girls' Squabbles Into Adult Irritation.,betrayal subversion harm
Her coach let her stay an hour after practice to work on her shots.,cheating
Here’S a confession. I stumble upon the profile of an online boyfriend from the past and have a mental breakdown.,harm
Husband Is Reluctant Spectator at Wife's Parade in the Nude.,harm cheating
Husband'S Letters to Old Flame Continue to Fuel Widow's Anger.,harm
Husband'S Rudeness About Stay-At-Home Mom Creates Marital Tensions.,harm
I 'kicking' my boyfiend out of my student house and effectively leave him homeless.,harm betrayal
I 100% believe that my dog have a full understanding of everything I say.,harm subversion
I A Brit call me a racial epithet and I neglect to punch his face.,harm degradation
I A car rear end her as she is wait for the light to change.,harm subversion
"I A couple year ago, I break an egg and leave it in a jar for a week to see what would happen. It smell really bad.",degradation
I A float jellyfish stung Sandy while she play in the ocean.,harm
I A friend of mine be try to lure me into an organizational pyramid scheme. He doesn’t know that I know it’s a scam. I’ll drop the bomb on him soon though.,cheating
I A high school bully die at a car crash and I am relieve and frustrated.,harm
"I A journalist lose his job, when not tell the truth in his story.",harm cheating
I A morbidly obese man tell me I am not live right because I worry.,harm
I A nerd broke my nose by viciously ram my face into his thigh.,harm
I A rant about leave an abusive house into a even more toxic environment.,harm
I A relative boyfriend be cheat on her and she doesn't know. But I do. And he know i know.,betrayal
I A shady guy from an apartment give me a bag of chip and I take them.,harm
I Abuse Survivor Fears to Tell New Girlfriend About His Past.,harm
I Abusers Say the Right Things Until Next Time They Get Mad.,harm cheating betrayal
