situation_lemmatized,situation_lemmatized_lowered
I call my neighbour a Fucking Piece of Shit.,I call my neighbour a fuck piece of shit.
I stand up for a girl that be be hit on Valentines day? be I sexist.,I stand up for a girl that be be hit on valentine day? be i sexist.
I get a Roommate Fired.,I get a roommate fire.
I get a Roommate Fired.,I get a roommate fire.
I want to move out of my Dads house.,I want to move out of my dad house.
I want to move out of my Dads house.,I want to move out of my dad house.
I tell my spouse that girl belong in the GIRL Scouts and boys belong in the BOY Scouts.,I tell my spouse that girl belong in the girl scout and boy belong in the boy scout.
I am heckle at trivia for supposedly cheat and I yell back at the individual.,I I am heckle at trivia for supposedly cheat and i yell back at the individual.
I feel entitle to an iPhone XS.,I feel entitle to an iphone x.
I don't want my girlfriend to go Las Vegas with people she have know for less than 2 month.,I don't want my girlfriend to go las vega with people she have know for less than 2 month.
I don't want my girlfriend to go Las Vegas with people she have know for less than 2 month.,I don't want my girlfriend to go las vega with people she have know for less than 2 month.
I I'm pissing at my Veteran husband for get piss drunk on Veterans Day.,I i'm pissing at my veteran husband for get piss drunk on veteran day.
I I'm pissing at my Veteran husband for get piss drunk on Veterans Day.,I i'm pissing at my veteran husband for get piss drunk on veteran day.
I tell a Girls Ex her baggage.,I tell a girl ex her baggage.
I tell a Girls Ex her baggage.,I tell a girl ex her baggage.
I tell my opinion on the Swastika symbol towards a Roma girl.,I tell my opinion on the swastika symbol towards a rom girl.
I am salty about who my S/o interact with.,I am salty about who my s/o interacts with.
I am salty about who my S/o interact with.,I am salty about who my s/o interacts with.
I end a casual relationship on Valentines day.,I end a casual relationship on valentine day.
I take my Dads money.,I take my dad money.
I Slashing tire.,I slash tire.
I Slashing tire.,I slash tire.
I Slashing tire.,I slash tire.
I drink out of my coworker's World's Greatest Dad Mug.,I drink out of my coworker's world's great dad mug.
I just put some heavy cream in my brown sugar oatmeal.,I i just put some heavy cream in my brown sugar oatmeal.
I just put some heavy cream in my brown sugar oatmeal.,I i just put some heavy cream in my brown sugar oatmeal.
I hurt someone who love me.,I i hurt someone who love me.
I hurt someone who love me.,I i hurt someone who love me.
I feel almost nothing.,I i feel almost nothing.
I wish I could move on.,I i wish i could move on.
I have a confession.,I i have a confession.
The first time I outwardly get angry at a customer.,I the first time i outwardly get angry at a customer.
I talk to an old man just so my friend think I am a nice person.,I i talk to an old man just so my friend think I am a nice person.
I talk to an old man just so my friend think I am a nice person.,I i talk to an old man just so my friend think I am a nice person.
I dont feel anything with my boyfriend.,I i dont feel anything with my boyfriend.
I nearly get a guy to cheat on his girlfriend.,I i nearly get a guy to cheat on his girlfriend.
I nearly get a guy to cheat on his girlfriend.,I i nearly get a guy to cheat on his girlfriend.
I lick and finger my 13 year old cousin vigina.,I i lick and finger my 13 year old cousin vigina.
I lick and finger my 13 year old cousin vigina.,I i lick and finger my 13 year old cousin vigina.
