role,role_start,haidt,path
Agent,obj,Fairness,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Think https://w3id.org/framester/data/framestercore/Regard https://w3id.org/spice/SON/HaidtValues#Fairness
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Go https://w3id.org/framester/data/framestercore/Death https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Break https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Break https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Relieve https://w3id.org/framester/data/framestercore/Cure https://w3id.org/spice/SON/HaidtValues#Care
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Cheat https://w3id.org/framester/data/framestercore/Offenses https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Abuse https://w3id.org/framester/data/framestercore/Abusing https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Help https://w3id.org/framester/data/framestercore/Assistance https://w3id.org/spice/SON/HaidtValues#Care
Agent,obj,Authority,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Arrest https://w3id.org/framester/data/framestercore/Arrest https://w3id.org/spice/SON/HaidtValues#Authority
Agent,obj,Oppression,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Arrest https://w3id.org/framester/data/framestercore/Arrest https://w3id.org/spice/SON/HaidtValues#Oppression
Agent,obj,Loyalty,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Meet https://w3id.org/framester/data/framestercore/ComeTogether https://w3id.org/spice/SON/HaidtValues#Loyalty
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Kill https://w3id.org/framester/data/framestercore/Killing https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Murder https://w3id.org/framester/data/framestercore/Killing https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Murder https://w3id.org/framester/data/framestercore/Offenses https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Revenge https://w3id.org/framester/data/framestercore/Revenge https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Please https://w3id.org/framester/data/framestercore/Attack https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Bully https://w3id.org/framester/data/framestercore/Attack https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Quarter https://w3id.org/framester/data/framestercore/Killing https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Attempt https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Fairness,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Advantage https://w3id.org/framester/data/framestercore/Partiality https://w3id.org/spice/SON/HaidtValues#Fairness
Agent,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Horse https://w3id.org/framester/data/framestercore/Assistance https://w3id.org/spice/SON/HaidtValues#Care
Agent,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Shower https://w3id.org/framester/data/framestercore/Grooming https://w3id.org/spice/SON/HaidtValues#Care
Agent,obj,Loyalty,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Teammate https://w3id.org/framester/data/framestercore/Collaboration https://w3id.org/spice/SON/HaidtValues#Loyalty
