text,text_hash,text_exist
'Kicking' my boyfiend out of my student house and effectively leave him homeless.,2898337189,True
*Ed TW* I don't want to eat because I think it'll take my problem away.,864163804,True
5 How I lie to my family about go to school and literally waste my parent money.,1484528765,True
A Brit call me a racial epithet and I neglect to punch his face.,3237549569,True
"A co-worker I am in love with quit last week, but I am engaged.",2953713029,True
"A couple year ago, I break an egg and leave it in a jar for a week to see what would happen. It smell really bad.",2079925909,True
"A day before our vacation, i tell my relative to stop call and bother my mother while we are away, i have no regret lol.",327821962,True
A few month ago I think I realize that I am bi. Now I think it is more likely that I am lonely and afraid of guys.,2576099023,True
A friend of mine be try to lure me into an organizational pyramid scheme. He doesn’t know that I know it’s a scam. I’ll drop the bomb on him soon though.,952515331,True
A high school bully die at a car crash and I am relieve and frustrated.,1888622812,True
A nerd broke my nose by viciously ram my face into his thigh.,2695566800,True
A rant about leave an abusive house into a even more toxic environment.,2515409415,True
A relative boyfriend be cheat on her and she doesn't know. But I do. And he know i know.,1515200006,True
A shady guy from an apartment give me a bag of chip and I take them.,843847517,True
Adam totally forget about the flower and let them wilt and die.,3865843400,True
Affair With Sister's Boyfriend Gives Both Pleasure and Pain.,2402882897,True
After 25 year my family have be rip apart RIGHT before the holidays.,482219902,True
"After 5+ year of gradually erode away my interpersonal relationship and strictly limit my social interactions, I can finally admit..",2527604866,True
"After I fell out with my ex-best friend, I start like a boy she really hated.",312154841,True
"After the ups and down of acne, I think now that I hate myself more than ever.",748297012,True
"After year of Extreme verbal and okay physical abuse, I’m leave with intrusive homocidal thought that I’m get use to.",3362008517,True
After year of abuse today be the day I call quits and beat my brother over the head with a vacuum clean.,2225415364,True
Albert smoke cigarette even though his parent didn't approve.,3257734818,True
Alex be tell by his parent to not mess with their computer at all.,338958267,True
Alex be vomit and in pain as his father drive him to the ER.,2138313894,True
All my friend be too scared to sleep over because of my abusive mother.,2382305690,True
All the police officer rush to grab the guy and they catch him.,3526694504,True
Am I ready to enter another relationship after abuse my ex-wife 10 year ago?.,846928676,True
Amy and her parent lose their house because they couldn't pay bills.,1379670199,True
An old woman may or may not have call the police on me and my parent still don’t know.,1754603557,True
And he iscame the first man to have the most food pump out of him.,162207558,True
Andy know the caller be a telemarketer try to sell him a vacation.,466425793,True
Animal Lover Forced to Choose Between Boyfriend and Her Pets.,2743997850,True
Approximately 300 people nearly die and i think I am the only one who knows.,280828617,True
"As I grow up, I am taught not to like Indian people. But the truth be that I respect and love their extensive culture and heritage.",2616012377,True
As I sit in the doctor's office I wonder why I am even here.,1752896606,True
As a cop sometimes I seize money from homeless people because I know they will use that money for food or drug.,3295160352,True
As a hobby I enjoy drive around with my window roll down and verbally abuse overweight woman.,522723870,True
As a kid I physically attack my father cause I think he is kidnap my sister.,4231862999,True
"As a kid and young teenager, I am careless about leave container of old food out until they rotted..",3975422886,True
"As a kid, I give my mom the silent treatment just because she didn't buy me a TMNT action figure.",1628512685,True
As a prank I sell a fake X box one to some kid on Craigslist.,1845105845,True
"As a result of his carelessness, he stumble right into a huge patch.",1230444654,True
"As an excuse for the day off of work, I tell my manager that my mother have died.",2092637247,True
"As he is push the weight back up, his shoulder give him pain.",2451248498,True
"As she didn't find anything conclusive, she go to a doctor.",1933317356,True
"As well as the normal activities, he would help to campaign for them.",1643256015,True
At one time in my life I want to become a professional Hitman.,2703627738,True
At school I fart really loudly but everyone think it is this boy and he get send out protest his innocence.,684467934,True
Awkward Questions About Sons' Adoption Don't Deserve Answers.,3029866011,True
"Back in grade 10 my friend choke me till I pass out because I didn’t call him the group leader. He blame me for the group split up to this day, 8 year later.",1431320480,True
"Because of Percy Jackson, i think all dyslexic kid could read Greek. It wasn't until I ask my dyslexic friend in high school that I know otherwise.",4235539514,True
Becka try to bribe her way out of it but be arrest for DUI.,1828066385,True
Before I get addict to Minecraft I think it is call Mindcraft.,2749240740,True
Bill then unplug Jim's controller and knock his character out.,3357021868,True
Bill worry that the man would hurt him and the other hostages.,3366852259,True
Bone have be poke out of my gum for week and im too scar to get it check.,2832013630,True
Both her and her husband have always struggle with finances.,2534938135,True
Bro hat my parent and I think he want to make me do the same.,2365789421,True
"Bunch of people be planning, include me to beat someone up.",2035094803,True
But Joe call his brother one day and tell them they should play.,3712816863,True
"But in the end, he heart melted, she feed the cat and keep it with her.",1667569722,True
"Charles shout out, look like you teach your dog to hate blacks?.",4148369153,True
College Student Living at Home Can't Escape Smothering Mom.,2011043039,True
Cookie be fine with one shot but Leslie dare her to drink more.,3436189280,True
Damien be play outside one day while his parent be arguing.,2127959378,True
Dan could not wait until he could play Farmville on his phone.,3228702306,True
Daughter Refuses to Play Part in Mom's Reconciliation Drama.,2479822210,True
"Devin make it out safely, but his whole house sadly go up in flames.",1189025857,True
Dispute Over Toilet Threatens to Wash Family Harmony Down the Drain.,1519720581,True
Drama Teacher Discovers Forgotten Video of Student Who Died.,2610238865,True
Dropped outta college to go to concert &amp; music festival all over the nation and do mind alter drug instead.,3531614252,True
Eli decide to double the value of the donation when he file taxes.,329455513,True
Emailed Photo of Ailing Mom Is Reason to Restrict Visitors.,1843336470,True
Eric meet a woman and marry her 5 year after his wife died.,1741296762,True
Eventually he realize he get his friend's glass by mistake.,2352289143,True
Every time I eat I have to watch a programme like my 600lb life to remind me to not eat bad food.,1523589406,True
Every time I go to the bar I am tempt to cheat on my girlfriend.,3314423347,True
