role,haidt,path
Agent,Fairness,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Think', 'https://w3id.org/framester/data/framestercore/Regard', 'https://w3id.org/spice/SON/HaidtValues#Fairness']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Abuse', 'https://w3id.org/framester/data/framestercore/Abusing', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Relieve', 'https://w3id.org/framester/data/framestercore/Cure', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Lurker', 'https://w3id.org/framester/data/framestercore/Attack', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Holocaust', 'https://w3id.org/framester/data/framestercore/Killing', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Break', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Break', 'https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Go', 'https://w3id.org/framester/data/framestercore/Death', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Murder', 'https://w3id.org/framester/data/framestercore/Offenses', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Murder', 'https://w3id.org/framester/data/framestercore/Killing', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Oppression,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Arrest', 'https://w3id.org/framester/data/framestercore/Arrest', 'https://w3id.org/spice/SON/HaidtValues#Oppression']"
Agent,Authority,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Arrest', 'https://w3id.org/framester/data/framestercore/Arrest', 'https://w3id.org/spice/SON/HaidtValues#Authority']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Cheat', 'https://w3id.org/framester/data/framestercore/Offenses', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Quarter', 'https://w3id.org/framester/data/framestercore/Killing', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Help', 'https://w3id.org/framester/data/framestercore/Assistance', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Please', 'https://w3id.org/framester/data/framestercore/Attack', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Kill', 'https://w3id.org/framester/data/framestercore/Killing', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Revenge', 'https://w3id.org/framester/data/framestercore/Revenge', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Attempt', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Loyalty,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Meet', 'https://w3id.org/framester/data/framestercore/ComeTogether', 'https://w3id.org/spice/SON/HaidtValues#Loyalty']"
Agent,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Shower', 'https://w3id.org/framester/data/framestercore/Grooming', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Agent,Loyalty,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Teammate', 'https://w3id.org/framester/data/framestercore/Collaboration', 'https://w3id.org/spice/SON/HaidtValues#Loyalty']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Stoner', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Stoner', 'https://w3id.org/framester/data/framestercore/Attack', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Stone', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Horse', 'https://w3id.org/framester/data/framestercore/Assistance', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Bully', 'https://w3id.org/framester/data/framestercore/Attack', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Fairness,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Advantage', 'https://w3id.org/framester/data/framestercore/Partiality', 'https://w3id.org/spice/SON/HaidtValues#Fairness']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Lumberjack', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Agent,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#MassageTherapist', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Therapist', 'https://w3id.org/framester/data/framestercore/Cure', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Agent,Oppression,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#FrancineLock', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Lock', 'https://w3id.org/framester/data/framestercore/InhibitMovement', 'https://w3id.org/spice/SON/HaidtValues#Oppression']"
Agent,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#FinderKeeper', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Keeper', 'https://w3id.org/framester/data/framestercore/Defend', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#NotedChildKidnapper', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#ChildKidnapper', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Kidnapper', 'https://w3id.org/framester/data/framestercore/Kidnapping', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Patient,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Crush', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Patient,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Crush', 'https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Patient,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Ruin', 'https://w3id.org/framester/data/framestercore/Destroying', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Patient,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Face', 'https://w3id.org/framester/data/framestercore/HostileEncounter', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Patient,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Treat', 'https://w3id.org/framester/data/framestercore/Assistance', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Patient,Oppression,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Tie', 'https://w3id.org/framester/data/framestercore/InhibitMovement', 'https://w3id.org/spice/SON/HaidtValues#Oppression']"
Patient,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Gate', 'https://w3id.org/framester/data/framestercore/Supply', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Patient,Fairness,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Sympathy', 'https://w3id.org/framester/data/framestercore/Inclination', 'https://w3id.org/spice/SON/HaidtValues#Fairness']"
